주택건설실적통계(준공)(Statistics on Housing Construction(completion)) / 주택규모별 주택건설 준공실적(월계) (201007 ~ 202509),,,,,,,
다운로드 시간 : 2025-11-16   16:02,,,,,,,
,검색기간  : 201501 ~ 201901,검색분야 : 주택,작성주기 : 매월,,,,
 ,,,,,,,
월(Monthly),구  분,규모별,사용검사실적,,,,
2015-04,울산,계,"1,538",,,,
2015-04,울산,40㎡이하,,,,,
2015-04,울산,40~60㎡이하,270,,,,
2015-04,울산,60~85㎡이하,"1,074",,,,
2015-04,울산,85~135㎡이하,72,,,,
2015-04,울산,135㎡초과,122,,,,
2015-04,기타지방,계,"10,279",,,,
2015-04,기타지방,40㎡이하,521,,,,
2015-04,기타지방,40~60㎡이하,"1,955",,,,
2015-04,기타지방,60~85㎡이하,"4,238",,,,
2015-04,기타지방,85~135㎡이하,"2,487",,,,
2015-04,기타지방,135㎡초과,"1,078",,,,
2015-04,강원,계,889,,,,
2015-04,강원,40㎡이하,9,,,,
2015-04,강원,40~60㎡이하,29,,,,
2015-04,강원,60~85㎡이하,685,,,,
2015-04,강원,85~135㎡이하,81,,,,
2015-04,강원,135㎡초과,85,,,,
2015-04,충북,계,375,,,,
2015-04,충북,40㎡이하,54,,,,
2015-04,충북,40~60㎡이하,27,,,,
2015-04,충북,60~85㎡이하,72,,,,
2015-04,충북,85~135㎡이하,105,,,,
2015-04,충북,135㎡초과,117,,,,
2015-04,충남,계,"1,320",,,,
2015-04,충남,40㎡이하,300,,,,
2015-04,충남,40~60㎡이하,233,,,,
2015-04,충남,60~85㎡이하,542,,,,
2015-04,충남,85~135㎡이하,124,,,,
2015-04,충남,135㎡초과,121,,,,
2015-04,전북,계,209,,,,
2015-04,전북,40㎡이하,8,,,,
2015-04,전북,40~60㎡이하,8,,,,
2015-04,전북,60~85㎡이하,49,,,,
2015-04,전북,85~135㎡이하,69,,,,
2015-04,전북,135㎡초과,75,,,,
2015-04,전남,계,562,,,,
2015-04,전남,40㎡이하,72,,,,
2015-04,전남,40~60㎡이하,164,,,,
2015-04,전남,60~85㎡이하,96,,,,
2015-04,전남,85~135㎡이하,155,,,,
2015-04,전남,135㎡초과,75,,,,
2015-04,경북,계,"1,964",,,,
2015-04,경북,40㎡이하,14,,,,
2015-04,경북,40~60㎡이하,621,,,,
2015-04,경북,60~85㎡이하,846,,,,
2015-04,경북,85~135㎡이하,262,,,,
2015-04,경북,135㎡초과,221,,,,
2015-04,경남,계,"2,519",,,,
2015-04,경남,40㎡이하,10,,,,
2015-04,경남,40~60㎡이하,710,,,,
2015-04,경남,60~85㎡이하,"1,331",,,,
2015-04,경남,85~135㎡이하,205,,,,
2015-04,경남,135㎡초과,263,,,,
2015-04,제주,계,432,,,,
2015-04,제주,40㎡이하,47,,,,
2015-04,제주,40~60㎡이하,12,,,,
2015-04,제주,60~85㎡이하,163,,,,
2015-04,제주,85~135㎡이하,100,,,,
2015-04,제주,135㎡초과,110,,,,
2015-04,세종,계,"2,009",,,,
2015-04,세종,40㎡이하,7,,,,
2015-04,세종,40~60㎡이하,151,,,,
2015-04,세종,60~85㎡이하,454,,,,
2015-04,세종,85~135㎡이하,"1,386",,,,
2015-04,세종,135㎡초과,11,,,,
2015-05,총계,계,"28,300",,,,
2015-05,총계,40㎡이하,"2,737",,,,
2015-05,총계,40~60㎡이하,"8,059",,,,
2015-05,총계,60~85㎡이하,"12,922",,,,
2015-05,총계,85~135㎡이하,"2,691",,,,
2015-05,총계,135㎡초과,"1,891",,,,
2015-05,수도권소계,계,"12,615",,,,
2015-05,수도권소계,40㎡이하,"2,399",,,,
2015-05,수도권소계,40~60㎡이하,"4,376",,,,
2015-05,수도권소계,60~85㎡이하,"4,668",,,,
2015-05,수도권소계,85~135㎡이하,618,,,,
2015-05,수도권소계,135㎡초과,554,,,,
2015-05,서울,계,"4,204",,,,
2015-05,서울,40㎡이하,908,,,,
2015-05,서울,40~60㎡이하,"1,844",,,,
2015-05,서울,60~85㎡이하,"1,161",,,,
2015-05,서울,85~135㎡이하,238,,,,
2015-05,서울,135㎡초과,53,,,,
2015-05,인천,계,997,,,,
2015-05,인천,40㎡이하,33,,,,
2015-05,인천,40~60㎡이하,555,,,,
2015-05,인천,60~85㎡이하,316,,,,
2015-05,인천,85~135㎡이하,44,,,,
2015-05,인천,135㎡초과,49,,,,
2015-05,경기,계,"7,414",,,,
2015-05,경기,40㎡이하,"1,458",,,,
2015-05,경기,40~60㎡이하,"1,977",,,,
2015-05,경기,60~85㎡이하,"3,191",,,,
